agentId,community_id
3039,1
3040,1
23516,1
23517,1
3047,1
11241,1
3052,1
3055,1
15345,1
19441,1
7156,1
15349,1
7162,1
7165,1
7166,1
15359,1
3072,1
3080,1
3081,1
11274,1
15369,1
15375,1
3089,1
7186,1
7187,1
7188,1
3094,1
15385,1
3101,1
11295,1
3110,1
7206,1
7208,1
7212,1
7216,1
3124,1
3125,1
3130,1
15418,1
15426,1
3139,1
3141,1
7239,1
19528,1
3148,1
3149,1
3150,1
15436,1
15437,1
23629,1
23634,1
3155,1
15444,1
23635,1
3162,1
3163,1
23652,1
3173,1
15465,1
23658,1
23659,1
23660,1
7282,1
3192,1
15480,1
3194,1
3196,1
15487,1
3200,1
15489,1
15508,1
3222,1
3226,1
3228,1
3229,1
3230,1
11425,1
15521,1
3237,1
23725,1
3246,1
11441,1
7349,1
3257,1
3258,1
11452,1
3263,1
3265,1
3266,1
3267,1
3268,1
3274,1
7370,1
3279,1
11475,1
7385,1
11487,1
15590,1
3304,1
3306,1
3308,1
11501,1
3314,1
27896,1
27897,1
3322,1
23802,1
27898,1
3326,1
3330,1
7426,1
3334,1
7435,1
23821,1
3342,1
23823,1
7443,1
15646,1
3364,1
7467,1
19770,1
3387,1
11583,1
3401,1
15692,1
11604,1
11608,1
15713,1
3440,1
3450,1
3451,1
3452,1
19836,1
3455,1
3457,1
15754,1
23946,1
3468,1
11667,1
15764,1
3480,1
15769,1
11692,1
23981,1
23982,1
23983,1
15792,1
23992,1
7611,1
11708,1
24006,1
24008,1
7627,1
24012,1
24017,1
24021,1
15831,1
19934,1
24038,1
15852,1
15872,1
19969,1
3608,1
3618,1
3621,1
3632,1
3639,1
20028,1
7742,1
3647,1
3648,1
11841,1
15936,1
7749,1
3657,1
3658,1
3659,1
15945,1
15948,1
3664,1
15957,1
3675,1
3690,1
3695,1
3703,1
7800,1
16006,1
16010,1
3734,1
3738,1
3745,1
7845,1
3753,1
7850,1
16042,1
3757,1
20142,1
3759,1
20144,1
3761,1
20145,1
3767,1
3770,1
7866,1
3778,1
11971,1
3781,1
3786,1
28363,1
28364,1
7888,1
16096,1
16098,1
3821,1
7918,1
16137,1
12042,1
3854,1
7960,1
20260,1
7978,1
3885,1
3886,1
7983,1
7986,1
7989,1
16189,1
12097,1
3907,1
12106,1
3927,1
20316,1
12137,1
16236,1
3951,1
8048,1
3953,1
16241,1
3963,1
8059,1
3966,1
3967,1
16258,1
3971,1
3975,1
3977,1
12175,1
12183,1
4002,1
8099,1
20390,1
12200,1
16301,1
12207,1
24499,1
4021,1
24502,1
24505,1
24506,1
24508,1
24509,1
24512,1
24513,1
24516,1
24521,1
24523,1
24524,1
24528,1
24529,1
24530,1
12246,1
24539,1
4061,1
16350,1
24541,1
16354,1
4073,1
20461,1
20462,1
4080,1
16377,1
12288,2
23564,2
11277,2
23568,2
23569,2
23570,2
23571,2
23572,2
23573,2
23574,2
23577,2
23578,2
23580,2
23587,2
23588,2
23589,2
10281,2
21548,2
15407,2
15408,2
10289,2
15410,2
22582,2
23606,2
10297,2
22588,2
22590,2
10303,2
14399,2
22592,2
10304,2
22594,2
14400,2
10306,2
14401,2
22598,2
22599,2
10307,2
22595,2
22596,2
10311,2
22601,2
22602,2
22604,2
22610,2
23643,2
23644,2
23645,2
22628,2
22629,2
14438,2
18534,2
22631,2
23656,2
22634,2
23657,2
22639,2
22640,2
23664,2
23665,2
13427,2
13428,2
13429,2
23667,2
13431,2
23668,2
23670,2
13443,2
22660,2
22661,2
22662,2
13445,2
13446,2
13447,2
22665,2
22669,2
22670,2
22673,2
13458,2
22675,2
22674,2
22682,2
22687,2
14495,2
9377,2
22688,2
22691,2
22690,2
22693,2
9380,2
9383,2
22696,2
22697,2
9382,2
22701,2
22703,2
9402,2
22715,2
22717,2
22721,2
22727,2
22732,2
22733,2
22734,2
13521,2
22741,2
22743,2
22744,2
22745,2
22747,2
22748,2
22750,2
12518,2
22759,2
22761,2
22763,2
22771,2
22775,2
22776,2
14588,2
22783,2
22785,2
22786,2
22791,2
3337,2
22797,2
22798,2
22823,2
22830,2
22831,2
14645,2
22838,2
2364,2
22848,2
15681,2
13639,2
13640,2
22859,2
22861,2
22862,2
22863,2
22864,2
22869,2
22870,2
22874,2
22875,2
22876,2
22877,2
13662,2
22879,2
22880,2
11614,2
22882,2
15718,2
22887,2
22888,2
22890,2
22895,2
22896,2
23922,2
13683,2
22899,2
23925,2
13685,2
23923,2
23924,2
23926,2
23927,2
23928,2
23929,2
23932,2
19837,2
23933,2
22911,2
22912,2
2433,2
19841,2
22923,2
22924,2
2445,2
23953,2
22930,2
22931,2
22932,2
13716,2
9621,2
23959,2
23957,2
23958,2
23961,2
23963,2
22938,2
23964,2
23966,2
19871,2
22945,2
9637,2
23973,2
9644,2
19889,2
22965,2
22969,2
19897,2
9662,2
23999,2
24000,2
22977,2
22979,2
24003,2
9669,2
9670,2
22986,2
9675,2
21963,2
22988,2
22989,2
22987,2
22990,2
22991,2
22992,2
22993,2
22994,2
22995,2
22998,2
22997,2
22996,2
22999,2
23000,2
23001,2
23003,2
23004,2
23005,2
23006,2
23007,2
23008,2
23009,2
23010,2
9699,2
23012,2
23011,2
23013,2
23016,2
23015,2
23014,2
23017,2
23018,2
23019,2
23020,2
23034,2
23036,2
24061,2
23040,2
23043,2
23044,2
23045,2
23046,2
23047,2
13827,2
23051,2
23052,2
23053,2
23054,2
24078,2
24079,2
24080,2
23058,2
23059,2
23060,2
9750,2
23065,2
23067,2
23068,2
23073,2
24100,2
