delta_b,mean_cum,p50,p25,p75
87000,0.05831571529245948,0.0,0.0,0.0
88000,0.06279069767441861,0.0,0.0,0.0
89000,0.0649400986610289,0.0,0.0,0.0
90000,0.06730091613812544,0.0,0.0,0.0
91000,0.07022551092318534,0.0,0.0,0.0
92000,0.07230443974630021,0.0,0.0,0.0
93000,0.07258632840028188,0.0,0.0,0.0
94000,0.0726215644820296,0.0,0.0,0.0
95000,0.07265680056377731,0.0,0.0,0.0
96000,0.07286821705426356,0.0,0.0,0.0
97000,0.07286821705426356,0.0,0.0,0.0
98000,0.07286821705426356,0.0,0.0,0.0
99000,0.07286821705426356,0.0,0.0,0.0
100000,0.07290345313601128,0.0,0.0,0.0
101000,0.0730091613812544,0.0,0.0,0.0
102000,0.07307963354474982,0.0,0.0,0.0
103000,0.07311486962649753,0.0,0.0,0.0
104000,0.07311486962649753,0.0,0.0,0.0
105000,0.07311486962649753,0.0,0.0,0.0
106000,0.07311486962649753,0.0,0.0,0.0
107000,0.07332628611698379,0.0,0.0,0.0
108000,0.0733615221987315,0.0,0.0,0.0
109000,0.07339675828047922,0.0,0.0,0.0
110000,0.07353770260747004,0.0,0.0,0.0
111000,0.07367864693446088,0.0,0.0,0.0
112000,0.07367864693446088,0.0,0.0,0.0
113000,0.07367864693446088,0.0,0.0,0.0
114000,0.07374911909795631,0.0,0.0,0.0
115000,0.07381959126145173,0.0,0.0,0.0
116000,0.07385482734319944,0.0,0.0,0.0
117000,0.07385482734319944,0.0,0.0,0.0
118000,0.07389006342494715,0.0,0.0,0.0
119000,0.07392529950669485,0.0,0.0,0.0
120000,0.07396053558844257,0.0,0.0,0.0
121000,0.07420718816067653,0.0,0.0,0.0
122000,0.07434813248766738,0.0,0.0,0.0
123000,0.07463002114164904,0.0,0.0,0.0
124000,0.07477096546863989,0.0,0.0,0.0
125000,0.07484143763213531,0.0,0.0,0.0
126000,0.07491190979563073,0.0,0.0,0.0
127000,0.07508809020436927,0.0,0.0,0.0
128000,0.07512332628611698,0.0,0.0,0.0
129000,0.0755461592670895,0.0,0.0,0.0
130000,0.07579281183932347,0.0,0.0,0.0
131000,0.07607470049330514,0.0,0.0,0.0
132000,0.07632135306553911,0.0,0.0,0.0
133000,0.07639182522903454,0.0,0.0,0.0
134000,0.07653276955602537,0.0,0.0,0.0
135000,0.07656800563777308,0.0,0.0,0.0
136000,0.07677942212825933,0.0,0.0,0.0
137000,0.07713178294573643,0.0,0.0,0.0
138000,0.07744890768146583,0.0,0.0,0.0
139000,0.07758985200845665,0.0,0.0,0.0
140000,0.07808315715292459,0.0,0.0,0.0
141000,0.07854122621564483,0.0,0.0,0.0
142000,0.07854122621564483,0.0,0.0,0.0
143000,0.07868217054263565,0.0,0.0,0.0
144000,0.07871740662438337,0.0,0.0,0.0
145000,0.07928118393234672,0.0,0.0,0.0
146000,0.07966878083157153,0.0,0.0,0.0
147000,0.07995066948555321,0.0,0.0,0.0
148000,0.080338266384778,0.0,0.0,0.0
149000,0.0806553911205074,0.0,0.0,0.0
150000,0.08086680761099366,0.0,0.0,0.0
151000,0.08111346018322763,0.0,0.0,0.0
152000,0.08128964059196617,0.0,0.0,0.0
153000,0.0813601127554616,0.0,0.0,0.0
154000,0.08146582100070472,0.0,0.0,0.0
155000,0.08157152924594785,0.0,0.0,0.0
156000,0.08167723749119098,0.0,0.0,0.0
157000,0.08171247357293869,0.0,0.0,0.0
158000,0.0817829457364341,0.0,0.0,0.0
159000,0.08188865398167723,0.0,0.0,0.0
160000,0.08192389006342495,0.0,0.0,0.0
161000,0.08192389006342495,0.0,0.0,0.0
162000,0.08199436222692037,0.0,0.0,0.0
163000,0.08206483439041579,0.0,0.0,0.0
164000,0.08217054263565891,0.0,0.0,0.0
165000,0.08220577871740663,0.0,0.0,0.0
166000,0.08241719520789288,0.0,0.0,0.0
167000,0.08252290345313601,0.0,0.0,0.0
168000,0.08255813953488372,0.0,0.0,0.0
169000,0.08259337561663144,0.0,0.0,0.0
170000,0.08262861169837914,0.0,0.0,0.0
171000,0.08266384778012685,0.0,0.0,0.0
172000,0.08276955602536998,0.0,0.0,0.0
173000,0.08280479210711769,0.0,0.0,0.0
174000,0.08280479210711769,0.0,0.0,0.0
175000,0.08280479210711769,0.0,0.0,0.0
176000,0.08280479210711769,0.0,0.0,0.0
177000,0.0828752642706131,0.0,0.0,0.0
178000,0.08298097251585623,0.0,0.0,0.0
179000,0.08301620859760395,0.0,0.0,0.0
180000,0.08305144467935166,0.0,0.0,0.0
181000,0.08315715292459479,0.0,0.0,0.0
182000,0.0835799859055673,0.0,0.0,0.0
183000,0.08361522198731501,0.0,0.0,0.0
184000,0.0839675828047921,0.0,0.0,0.0
185000,0.08439041578576462,0.0,0.0,0.0
186000,0.08453136011275546,0.0,0.0,0.0
187000,0.0846723044397463,0.0,0.0,0.0
188000,0.08491895701198027,0.0,0.0,0.0
189000,0.08548273431994362,0.0,0.0,0.0
190000,0.08579985905567301,0.0,0.0,0.0
191000,0.08601127554615927,0.0,0.0,0.0
192000,0.0861169837914024,0.0,0.0,0.0
193000,0.0865045806906272,0.0,0.0,0.0
194000,0.08664552501761805,0.0,0.0,0.0
195000,0.08671599718111346,0.0,0.0,0.0
196000,0.08671599718111346,0.0,0.0,0.0
197000,0.08678646934460887,0.0,0.0,0.0
198000,0.0868569415081043,0.0,0.0,0.0
199000,0.0868569415081043,0.0,0.0,0.0
200000,0.0868569415081043,0.0,0.0,0.0
201000,0.0868569415081043,0.0,0.0,0.0
202000,0.0868569415081043,0.0,0.0,0.0
203000,0.086892177589852,0.0,0.0,0.0
204000,0.086892177589852,0.0,0.0,0.0
205000,0.086892177589852,0.0,0.0,0.0
206000,0.086892177589852,0.0,0.0,0.0
207000,0.086892177589852,0.0,0.0,0.0
208000,0.08692741367159972,0.0,0.0,0.0
209000,0.08699788583509514,0.0,0.0,0.0
210000,0.08703312191684284,0.0,0.0,0.0
211000,0.08703312191684284,0.0,0.0,0.0
212000,0.08703312191684284,0.0,0.0,0.0
213000,0.08703312191684284,0.0,0.0,0.0
214000,0.08703312191684284,0.0,0.0,0.0
215000,0.08703312191684284,0.0,0.0,0.0
216000,0.08703312191684284,0.0,0.0,0.0
217000,0.08703312191684284,0.0,0.0,0.0
218000,0.08703312191684284,0.0,0.0,0.0
219000,0.08703312191684284,0.0,0.0,0.0
220000,0.08703312191684284,0.0,0.0,0.0
221000,0.08703312191684284,0.0,0.0,0.0
222000,0.08706835799859056,0.0,0.0,0.0
223000,0.08706835799859056,0.0,0.0,0.0
224000,0.08706835799859056,0.0,0.0,0.0
225000,0.08706835799859056,0.0,0.0,0.0
226000,0.08706835799859056,0.0,0.0,0.0
227000,0.08706835799859056,0.0,0.0,0.0
228000,0.08706835799859056,0.0,0.0,0.0
229000,0.08706835799859056,0.0,0.0,0.0
230000,0.08706835799859056,0.0,0.0,0.0
231000,0.08717406624383368,0.0,0.0,0.0
232000,0.08727977448907681,0.0,0.0,0.0
233000,0.08731501057082452,0.0,0.0,0.0
234000,0.08731501057082452,0.0,0.0,0.0
235000,0.08731501057082452,0.0,0.0,0.0
236000,0.08731501057082452,0.0,0.0,0.0
237000,0.08731501057082452,0.0,0.0,0.0
238000,0.08731501057082452,0.0,0.0,0.0
239000,0.08738548273431994,0.0,0.0,0.0
240000,0.0875616631430585,0.0,0.0,0.0
241000,0.08766737138830162,0.0,0.0,0.0
242000,0.08773784355179703,0.0,0.0,0.0
243000,0.08780831571529246,0.0,0.0,0.0
244000,0.08879492600422834,0.0,0.0,0.0
245000,0.08946441155743481,0.0,0.0,0.0
246000,0.08971106412966878,0.0,0.0,0.0
247000,0.08988724453840732,0.0,0.0,0.0
248000,0.09006342494714588,0.0,0.0,0.0
249000,0.09097956307258633,0.0,0.0,0.0
250000,0.09252995066948555,0.0,0.0,0.0
251000,0.09541930937279774,0.0,0.0,0.0
252000,0.09689922480620156,0.0,0.0,0.0
253000,0.09763918252290345,0.0,0.0,0.0
254000,0.09767441860465116,0.0,0.0,0.0
255000,0.09767441860465116,0.0,0.0,0.0
