clientAddress,mean_interevent_gap,median_interevent_gap,cv_interevent_gap,burstiness_proxy,n_gaps
0xe8288a253c08d404a50442c4c90695367f04d7d6,32.0,32.0,0.0,-1.0,1
0xe87498d2434ac336a5d211a8b43bb926e8fcd777,3.0,3.0,0.0,-1.0,1
0xeb83641c61754c0ca3d73c47f5d86a75ed083269,4672.0,4672.0,0.0,-1.0,1
0xef26f2cc1f1cdee11d106ee3cb5dfab6f075d645,1400.857142857143,68.0,2.134412397447166,0.36192187038664486,7
0xf17b5dd382b048ff4c05c1c9e4e24cfc5c6adad9,3.2,2.0,0.667317390751957,-0.19953166151407073,10
0xf18b3277bb7c522a5ca9a6cda1b7d181205b1d41,9.0,9.0,0.0,-1.0,1
0xf257c3fcb8bbbe6bd4670253eedc577b2c2b36fe,7.666666666666667,7.0,0.3253615118933862,-0.5090222418959777,3
0xf36bb95548ae036b8add44f94cd0d01316825a20,12517.75,14.5,1.746095703366614,0.2716932634401371,8
0xf5a319b5158293ee66487d0810652bebf5e0f668,28.0,28.0,0.0,-1.0,1
0xf653068677a9a26d5911da8abd1500d043ec807e,138.6490939044481,4.0,32.22557650920737,0.9398054086602301,1214
0xf89009ceb2dee053453b87d240e7ac5104a703b3,34809.0,34809.0,0.35373035709155676,-0.47739909171936673,2
0xf9d1d63f362bbf1ee08ab9acb36fe74afc48d5f1,975.4,6.0,1.9188037695679192,0.3147877836624601,5
0xfac7c99cd020c930d67c9085c4a31729687e9422,5468.0,5468.0,0.0,-1.0,1
0xfd280fbff240b38c9b3637602b0073c2b20ef06b,13421.0,13421.0,0.0,-1.0,1
0xfd3b50bb02d9ef01c36703e49d050dfc3f5b3690,6.0,6.0,0.0,-1.0,1
0xfe8cc72d95633e3a40cf3d221a609ef0c4807745,4.0,4.0,0.0,-1.0,1
0xffebcfd2b3f4129403c2787829f0a07a92e6d296,471.25,3.0,1.722250507415242,0.2653137561910178,4
