"blockNumber","transactionHash","logIndex","address","event","agentId","clientAddress","indexedTag1","feedbackIndex","value","valueDecimals","tag1","tag2","endpoint","feedbackURI","feedbackHash"
"24433791","0xb76ce220031876146bc15f63b110939ca79e1381a07ad3bf9ea8767b5e497529","263","0x8004BAa17C55a88189AE136b182e5fdA19dE9b63","NewFeedback","3967","0xF653068677A9a26d5911Da8ABd1500d043EC807e","0x90dbee9d87d6440c27c601f81cfd9aeb695431649e047fe43e7105512264b578","1","30","0","trust","oracle-screening","Oracle screening: risk=high, flags=[HIGH_RISK_SCORE, CONCENTRATED_FEEDBACK]","","0x7249e36dbadfd57ee05a5cf8f9af5455974d34df80718cadfa66a92717a5dc71"
"24433794","0x89fc29abde782078bf4f3912edaac7ff51e419792eca119f77cd653b6199d4b2","588","0x8004BAa17C55a88189AE136b182e5fdA19dE9b63","NewFeedback","3703","0xF653068677A9a26d5911Da8ABd1500d043EC807e","0x90dbee9d87d6440c27c601f81cfd9aeb695431649e047fe43e7105512264b578","1","30","0","trust","oracle-screening","Oracle screening: risk=high, flags=[HIGH_RISK_SCORE, CONCENTRATED_FEEDBACK]","","0x77af73d73f953de93138fcd86ac34bfcbf05dbb1e6856097d1883cb2cff793e6"
"24433797","0xd011ccde119f9f0f4333f5f479d638b99034310abaa761dea2383413bb3bf589","528","0x8004BAa17C55a88189AE136b182e5fdA19dE9b63","NewFeedback","13473","0xF653068677A9a26d5911Da8ABd1500d043EC807e","0x90dbee9d87d6440c27c601f81cfd9aeb695431649e047fe43e7105512264b578","1","30","0","trust","oracle-screening","Oracle screening: risk=high, flags=[HIGH_RISK_SCORE, CONCENTRATED_FEEDBACK]","","0x5a7facd84c148768be04b3b6ac4e48e66d210dd5c0af42b82862aa8b2d5f57ae"
"24433801","0x0fab591f1b4867b565f17853ff4f02016ab5cfd1e34738fc0462b062793afffa","242","0x8004BAa17C55a88189AE136b182e5fdA19dE9b63","NewFeedback","11167","0xF653068677A9a26d5911Da8ABd1500d043EC807e","0x90dbee9d87d6440c27c601f81cfd9aeb695431649e047fe43e7105512264b578","1","30","0","trust","oracle-screening","Oracle screening: risk=high, flags=[HIGH_RISK_SCORE, CONCENTRATED_FEEDBACK]","","0xc7372b5cb5b6d314d603e8cb850900e033b62f4f203e8ffa41696c2426b35962"
"24433804","0xcee55e4114fea938f621bb8c081c6607f04b6b6673d3b7e6e68d2df8f31825ce","648","0x8004BAa17C55a88189AE136b182e5fdA19dE9b63","NewFeedback","19528","0xF653068677A9a26d5911Da8ABd1500d043EC807e","0x90dbee9d87d6440c27c601f81cfd9aeb695431649e047fe43e7105512264b578","1","30","0","trust","oracle-screening","Oracle screening: risk=high, flags=[HIGH_RISK_SCORE, CONCENTRATED_FEEDBACK]","","0x945c88beec0fa1d09fae6f022c835bdfc50e2108c61b5072a1dee913558781a6"
"24433812","0xe2cff802c1de4089408a7f900102027080f966ac99647aa1f034f58a7b3ef583","521","0x8004BAa17C55a88189AE136b182e5fdA19dE9b63","NewFeedback","4942","0xF653068677A9a26d5911Da8ABd1500d043EC807e","0x90dbee9d87d6440c27c601f81cfd9aeb695431649e047fe43e7105512264b578","1","30","0","trust","oracle-screening","Oracle screening: risk=high, flags=[HIGH_RISK_SCORE, CONCENTRATED_FEEDBACK]","","0x2576c9ced3c473a0a8835f71f17d443d34df9f9d94147e1b4e84512c1a23459f"
"24433815","0xb931cbc8ac44f91047c01648ee0e7d89e5dd6eaa8478db57620ccb50ad678bd1","468","0x8004BAa17C55a88189AE136b182e5fdA19dE9b63","NewFeedback","8628","0xF653068677A9a26d5911Da8ABd1500d043EC807e","0x90dbee9d87d6440c27c601f81cfd9aeb695431649e047fe43e7105512264b578","1","30","0","trust","oracle-screening","Oracle screening: risk=high, flags=[HIGH_RISK_SCORE, CONCENTRATED_FEEDBACK]","","0xaa67cc446d04ca6dd11b72a9b8f63c36d978074c81510d589451e83335805cf1"
"24433818","0x3103aacdc9da0806a54519601ff0ce1eabe58056fd69efd551c3d5397e7c802b","372","0x8004BAa17C55a88189AE136b182e5fdA19dE9b63","NewFeedback","7156","0xF653068677A9a26d5911Da8ABd1500d043EC807e","0x90dbee9d87d6440c27c601f81cfd9aeb695431649e047fe43e7105512264b578","1","30","0","trust","oracle-screening","Oracle screening: risk=high, flags=[HIGH_RISK_SCORE, CONCENTRATED_FEEDBACK]","","0x8c800db58c1b707f984c283575ad3e3d282ef6319fca5d9fedc56645684ac55a"
"24433821","0xe341cb4374cfa070fa9ad4cfd1085b29b9effb631fce326833e6c28f408a29ed","367","0x8004BAa17C55a88189AE136b182e5fdA19dE9b63","NewFeedback","4540","0xF653068677A9a26d5911Da8ABd1500d043EC807e","0x90dbee9d87d6440c27c601f81cfd9aeb695431649e047fe43e7105512264b578","1","30","0","trust","oracle-screening","Oracle screening: risk=high, flags=[HIGH_RISK_SCORE, CONCENTRATED_FEEDBACK]","","0xc86bfdf08d3931e420c3ea09c7586143a81969a0428da070f185b85f28774d3d"
"24433825","0xcb1ce831e959c57c8b78dfab6f47dd350e56dc0e9cf184cb8199daae02443344","346","0x8004BAa17C55a88189AE136b182e5fdA19dE9b63","NewFeedback","7239","0xF653068677A9a26d5911Da8ABd1500d043EC807e","0x90dbee9d87d6440c27c601f81cfd9aeb695431649e047fe43e7105512264b578","1","30","0","trust","oracle-screening","Oracle screening: risk=high, flags=[HIGH_RISK_SCORE, CONCENTRATED_FEEDBACK]","","0xbff6a40b9d1e9c2c9bcdfe8cd89e0907870bd642b0b58c9771f1ff6426d610ac"
"24433828","0x9eabdf7ba45b6c98a053a532cf4f43feabe7610f21394d8a48df8d7c51f233d1","551","0x8004BAa17C55a88189AE136b182e5fdA19dE9b63","NewFeedback","18381","0xF653068677A9a26d5911Da8ABd1500d043EC807e","0x90dbee9d87d6440c27c601f81cfd9aeb695431649e047fe43e7105512264b578","1","30","0","trust","oracle-screening","Oracle screening: risk=high, flags=[HIGH_RISK_SCORE, CONCENTRATED_FEEDBACK]","","0xb3e1a4e0086ad708df7afbf3fca1814b3064310d7806d229b4328622c72544b6"
